id	Cancer1	Cancer2	Normal1	Normal2
ENSG00000000003	386.938677103	6707.46268679	1867.14136269	763.423038102
ENSG00000000005	0.243772494284	0.237518641376	0.267979116863	0.275025155667
ENSG00000000419	12423.0511822	9468.98251511	12596.9806232	9965.21384961
ENSG00000000457	17456.1168168	14292.0669357	10690.1793308	7821.68414424
ENSG00000000460	2053.28437542	1996.06844516	2727.48539143	1850.59435145
ENSG00000000938	165.134590003	110.958144429	67.1454223133	62.2832608801
ENSG00000000971	745.936167193	202.562137245	315.715215632	2038.19231462
ENSG00000001036	152816.863297	47992.8741384	11392.2398696	79456.2844596
ENSG00000001084	25960.2378406	23656.2021325	17682.832747	16730.0978517
ENSG00000001167	41982.07969	42101.4310078	25244.8958899	16132.101471
ENSG00000001460	4154.81736105	3321.60446614	5257.061651	4524.7293569
ENSG00000001461	64205.2174169	44099.7074168	32862.3236112	24185.7356852
ENSG00000001497	33910.8030898	19291.5078125	22706.902832	28726.4920412
ENSG00000001561	30806.5422678	36171.3540993	3887.31427284	15250.3067924
ENSG00000001617	19.4543719046	56.2597116458	37.9897345749	39.8649991265
ENSG00000001626	286.756307243	410.910485987	470.357182621	414.051646538
ENSG00000001629	166750.575818	117072.334474	134426.552891	87477.8812501
ENSG00000001630	181214.299689	168644.208892	146727.736658	86408.0085948
ENSG00000001631	75052.0218366	86187.0412235	78810.7627737	35595.0367539
ENSG00000002016	4456.30922828	3921.25544603	4050.71471254	3609.27181286
ENSG00000002079	52.2149130815	65.8916318993	61.5711379554	11.7091497727
ENSG00000002330	5118.66338527	7993.08521212	11569.7743778	7891.44792028
ENSG00000002549	230152.207042	36155.492388	42636.0144227	151968.067609
ENSG00000002586	638.466747733	347.83908925	209.081835785	651.377171569
ENSG00000002587	371.141749376	370.895266548	1080.38110361	544.787916458
ENSG00000002726	619.530292818	198.696610422	204.433378385	761.377123309
ENSG00000002745	1824.62510678	140.063046918	2537.27274679	383.182583437
ENSG00000002746	37.7253322939	156.050344594	432.846320453	74.4948348627
ENSG00000002822	9707.74221275	11148.4940999	4724.34554723	7458.28197101
ENSG00000002834	143699.778967	72695.0424031	132862.555029	174206.933926
ENSG00000002919	9128.85695818	9508.4118229	5763.9906501	4248.15390783
ENSG00000002933	69.9590213607	142.270031126	135.593082884	349.675609481
ENSG00000003056	89903.3191463	56929.5088696	49126.8718955	48097.8239587
ENSG00000003096	13.96640905	4.12747623617	11.3845375454	7.31770749237
ENSG00000003137	18.2719099471	39.1408653957	5.34525372297	25.9779144834
ENSG00000003147	2237.05925823	3503.61127184	1085.01760352	1388.8666509
ENSG00000003249	84.5539597801	219.630860553	142.333402593	269.698354447
ENSG00000003393	11160.7086443	18945.8256571	11474.8420301	8807.778122
ENSG00000003400	289332.122481	352789.12849	218650.35965	129067.750521
ENSG00000003402	1179889.9684	2820899.86953	1526390.90989	595922.902723
ENSG00000003436	63578.4263126	60004.5336774	61032.9710776	61647.2761134
ENSG00000003509	4646.56080993	7323.62901702	4172.59173006	4493.17684238
ENSG00000003756	256713.065142	173487.096179	184814.141888	123445.359673
ENSG00000003987	1654.53832044	5536.96925198	1835.23287992	1713.37777212
ENSG00000003989	44.6996356206	923.432289951	153.199571105	454.021342204
ENSG00000004059	16930.6621607	18010.7158483	24517.6950599	24889.7281029
ENSG00000004139	8707.24927553	10805.557278	46398.9550679	6829.95479217
ENSG00000004142	63612.7902579	36480.6745531	30356.008995	35440.4554911
ENSG00000004399	307.915953991	478.741263701	1542.19031112	1389.70213181
ENSG00000004455	46299.6369599	26336.6500879	25634.486739	20535.4696907
ENSG00000004468	815170.251826	775608.137222	478150.258715	728311.267428
ENSG00000004478	109287.346672	28400.6466764	25313.0361554	36256.0470651
ENSG00000004487	42762.7595509	37950.7290623	28313.1744487	38172.9753564
ENSG00000004534	266795.343499	163026.545377	109088.249001	119414.10394
ENSG00000004660	2713.69303394	12757.9866112	11829.7372509	7983.94282474
ENSG00000004700	32876.2520154	14424.3378004	20283.811461	15218.3843096
ENSG00000004766	25404.3939011	21407.6120314	20220.4611578	6644.62799426
ENSG00000004776	10.3674980031	28.9493364426	31.3455641585	43.6682600287
ENSG00000004777	3786.02332834	9617.81051934	8204.54751747	3502.7835973
ENSG00000004779	17907.2213537	8559.16182693	5352.53177825	8917.43047855
ENSG00000004799	523.983533199	202.653714028	902.10532527	1186.63638034
ENSG00000004809	117.503449099	149.510535954	80.4364360832	120.374622055
ENSG00000004838	1347.52692552	716.940283681	1117.31089497	778.477482617
ENSG00000004846	254.037619504	260.906329575	211.547318227	342.688042838
ENSG00000004848	52.3133897907	15.5949640244	9.95383538154	20.3025666494
ENSG00000004864	7179.53792848	8296.97712668	11926.2018834	6638.53181808
ENSG00000004866	42123.7488869	28151.8298247	41701.1154128	23586.0244568
ENSG00000004897	134322.951495	79391.9206142	57037.4246023	65537.7655111
ENSG00000004939	7369.4452916	8038.54156503	849.168321775	1173.78255633
ENSG00000004948	0.685177613163	0.639285406939	0.685243833511	0.721873098935
ENSG00000004961	6842.79484357	2959.14343016	2720.73176083	4176.6387701
ENSG00000004975	13584.9030679	16234.5583867	18444.6943526	12483.3143967
ENSG00000005001	0.415054993232	0.406789114076	0.398859156451	0.402053556395
ENSG00000005007	194125.912358	224992.62439	105063.168565	144676.960784
ENSG00000005020	32140.6576366	13522.1309514	12460.8135366	11729.3871618
ENSG00000005022	214394.593469	112943.169159	57151.6819218	148200.590178
ENSG00000005059	7107.68345016	7125.59338235	13091.8559179	8135.9757234
ENSG00000005073	0.773891190144	0.527114221276	0.77246942618	0.521075843183
ENSG00000005075	17713.3480681	13290.2949946	12270.3670971	8453.40690026
ENSG00000005100	16787.8535419	15282.1704295	12053.3488942	12157.5896516
ENSG00000005102	0.793300054597	1.03809685458	1.28814728893	0.767232089342
ENSG00000005108	236.6434149	140.28143572	42.0030714717	67.0373678789
ENSG00000005156	143404.821786	120081.199778	125665.044503	101428.174272
ENSG00000005175	14993.5311011	10369.2189465	9723.9441811	8976.30510469
